,lat,Max Temp,Wind Speed,Humidity,Cloudiness
490,26.77,81.0,1.99,65,100
491,41.89,100.4,13.87,30,0
492,0.54,76.09,6.17,92,100
493,14.55,86.0,23.04,66,75
494,5.37,84.2,2.24,74,75
495,64.84,59.0,5.82,62,1
496,13.34,98.6,5.82,42,40
497,49.22,46.21,0.74,83,0
498,6.46,80.59,11.63,78,51
499,63.83,55.0,13.87,81,75
500,31.45,95.53,18.32,15,0
501,36.62,42.79,1.86,97,100
502,50.3,46.39,5.55,84,99
503,18.49,87.01,12.75,70,1
504,6.07,80.41,4.12,85,31
505,-29.46,57.2,12.75,58,0
506,-34.41,44.6,3.36,80,90
507,44.98,91.99,3.0,47,0
508,-9.11,75.19,14.41,71,92
509,52.61,66.0,10.29,77,75
510,49.2,55.75,14.23,77,100
511,71.03,50.0,19.46,75,75
512,-13.22,48.2,2.24,49,20
513,54.36,54.85,4.79,81,44
514,13.35,74.83,4.18,96,100
515,-20.01,75.2,11.41,73,40
516,64.86,59.0,5.82,62,1
517,50.38,44.05,3.29,76,93
518,12.17,92.65,2.1,36,0
519,66.04,61.69,8.23,57,99
520,-5.81,82.4,2.24,83,0
521,56.76,57.01,7.38,71,31
522,7.04,80.6,12.75,83,90
523,-23.87,69.8,4.7,88,75
524,49.0,89.6,11.41,45,20
525,30.81,77.17,6.2,76,3
526,12.5,84.2,5.82,74,75
527,29.03,97.51,12.35,20,0
528,8.52,80.41,4.97,68,58
529,9.83,95.0,11.41,41,40
530,50.78,46.21,1.99,93,27
531,60.47,42.97,1.1,95,100
532,-7.94,76.09,11.05,80,24
533,53.85,64.0,1.01,93,100
534,22.57,93.73,11.97,46,0
535,24.13,93.91,13.73,52,55
536,38.73,68.0,15.17,68,75
537,5.48,79.15,6.17,92,100
538,35.81,100.4,6.93,17,0
539,-5.56,64.75,9.66,87,3
540,36.37,79.51,5.82,41,0
541,7.69,85.81,3.29,63,21
542,31.5,73.0,4.0,100,96
543,-22.91,73.03,6.62,49,17
